symbol,direction,t_entry,entry,sl0,tp,qty,sl_init,t_exit,exit,reason,pnl,r,mfe_pct,mae_pct,mfe_r,mae_r,duration_m5
XRPUSDT,-1,1586328900,0.19864039,0.19482842027100628,0.176,21822.126018404382,0.20322289492713963,1586328900,0.19875960999999998,stop,-7.3712959477562805,-0.0737129594775628,0.0012101768426854528,0.0018103568967016738,0.052458208735643816,0.07847454737478622,1
XRPUSDT,-1,1593512700,0.17644705,0.1763589652425653,0.1679,85721.33345393905,0.17761276083316402,1593592500,0.17641187293213806,stop,-13.620720403050145,-0.1363076804557606,0.016135435531509253,0.0037005435908393667,2.442329537482636,0.5601303354346869,267
XRPUSDT,1,1595621700,0.20516153,0.20431365150101521,0.2107,41191.51461987512,0.2027389417374081,1595631300,0.2042523574055649,stop,-46.72560418641856,-0.46823896987535635,0.01286045195705064,0.004199276540782277,1.0891120215273968,0.35562378192910893,33
XRPUSDT,1,1597377000,0.29428826,0.29056016999669426,0.3079,7884.303128725532,0.2816907200306454,1597434000,0.30780763,tp,103.97990260927202,1.0468883045882165,0.04625308532525212,0.011513405257824526,1.0805077843065019,0.2689620360993074,191
XRPUSDT,1,1609417500,0.22016602999999998,0.2199151264441543,0.3124,8500.08411750398,0.20835877945596754,1609419300,0.21653502,stop,-32.90548804405932,-0.32786596363507736,0.0051505220855370465,0.046174380307443405,0.0960401404011145,0.8609989228303492,7
XRPUSDT,1,1609704300,0.22656795,0.22466804782587027,0.2516,9126.10419380492,0.21560669360669849,1609715100,0.22460064741152252,stop,-20.218384799110176,-0.20211600181231734,0.01647210031251117,0.012216864741901895,0.3404764806232153,0.25252123485511235,37
XRPUSDT,-1,1609830300,0.23043085000000002,0.23122762896867963,0.21,9113.658617215699,0.2413848903349877,1609833600,0.2312969972573702,stop,-10.20818690159067,-0.10225428600843348,0.0044735763462228585,0.004639786729945191,0.09410682893940499,0.09760325572155143,12
XRPUSDT,-1,1610285100,0.33519941,0.32793136015519997,0.2247,6770.475453076382,0.34992943936270265,1610286900,0.33239968999999997,stop,16.469455710011808,0.1651415917173488,0.013721414366451214,0.00805666692551757,0.31224717118663414,0.18333907784583642,7
XRPUSDT,-1,1610439600,0.29921021000000003,0.2991893480691439,0.2501,4511.61523976561,0.3213517250609259,1610441700,0.30019002999999994,stop,-5.90791563585347,-0.05914184862222121,0.005047321079050116,0.01634232334518247,0.06820716630476417,0.22084261111061823,8
XRPUSDT,-1,1613563200,0.53593917,0.5430608141729987,0.48,2116.585265969096,0.5831070867521296,1613567700,0.5432237324172505,stop,-16.674674645744883,-0.16702247112120552,0.0006328516723270204,0.028101752667191733,0.007190692813134298,0.31930242073538334,16
XRPUSDT,1,1624479600,0.62098624,0.6233771303971155,0.7883,1487.6576591930937,0.5539895285848099,1624481700,0.6185143900000001,stop,-4.691440518063152,-0.04707059913667542,0.009684208139619935,0.007546447405984493,0.08976201776131479,0.06994731384587861,8
XRPUSDT,1,1638342000,1.00570162,0.9969416956817323,1.0301,7340.164192203936,0.9921295453346696,1638385800,0.9966426131730278,stop,-74.57824202071336,-0.7486177615255526,0.012427522986390369,0.013226209181208254,0.9208894224496795,0.9800727101788462,147
XRPUSDT,1,1641879300,0.74502344,0.7436884246393853,0.7784,10249.608633890564,0.7353766839545803,1641889800,0.7434653181119936,stop,-24.36117453059096,-0.24638237908965563,0.008290423721433514,0.004729300866023669,0.6402732660512003,0.36524609759079474,36
XRPUSDT,1,1643148900,0.60798234,0.6162932787591413,0.6748,8545.298779985218,0.5964401031693957,1643228400,0.6161083907755136,stop,63.68641021253676,0.6456981417870393,0.08292619157326188,0.004576350030166986,4.3681013255868555,0.24105726132932984,266
XRPUSDT,1,1643420400,0.61098324,0.6090705540366582,0.6584,10257.672399440089,0.6013057300792887,1643468400,0.6088878328704472,stop,-28.376170687686013,-0.28585206755625897,0.01917689264275071,0.005210028347095137,1.2107205361706024,0.3289317217011997,161
XRPUSDT,1,1644902400,0.8202459999999999,0.8157180350285786,0.8522,3811.681282718189,0.7942771538766631,1644968700,0.85194434,tp,117.31834813017137,1.1852138199294469,0.04785637479487876,0.004323093315907592,1.5115804457990387,0.13654823102876856,222
XRPUSDT,-1,1659418200,0.37208833999999996,0.3764794064956539,0.3593,18283.621436239984,0.37756636570364366,1659457500,0.37659235031760263,stop,-89.87834646708065,-0.8973642993328104,0.014481346015841121,0.014275265922065851,0.9836280973300096,0.9696303535901653,132
XRPUSDT,-1,1680747600,0.5019493700000001,0.5040904273633665,0.4815,28110.053147760085,0.5054804684364558,1680793500,0.5042416544915755,stop,-79.99248463436452,-0.8058935785155181,0.023805926880633536,0.006077565153632811,3.384037634474462,0.8639323017746187,154
XRPUSDT,-1,1681275900,0.5088473,0.507350850873893,0.4975,18009.475874805103,0.514314390800246,1681372800,0.5075030561291551,stop,14.141962091353513,0.14363236384120343,0.021906965016813544,0.0020687935260735734,2.038982048642481,0.19255213393431328,324
XRPUSDT,-1,1681647900,0.5185443900000001,0.5198828675025994,0.4977,29375.049782656297,0.5219010093154686,1681652400,0.5200388323628501,stop,-60.6789574292168,-0.6153998833380578,0.0012426901388327624,0.00338565035868946,0.19197589581591007,0.5230292252414313,16
XRPUSDT,1,1683694200,0.42972888,0.4302937776116753,0.4692,16195.422922966558,0.42367815379265555,1683694500,0.42977103,stop,-6.97334342338259,-0.07116087156238299,0.002027138599574697,0.0002999100269918975,0.14396949558593972,0.021299922618141634,2
XRPUSDT,-1,1699647000,0.65720278,0.6640792850737536,0.6006,14240.42234165529,0.6640792850737536,1699651200,0.6642785088592756,stop,-111.1115157495972,-1.1346670269944523,0.0010693503152862712,0.011864252917493821,0.10220017181146297,1.1338928592899122,15
XRPUSDT,-1,1699967700,0.65430365,0.6616123447081556,0.6344,9944.138115009257,0.6640393576307262,1699970700,0.661810828411568,stop,-81.85061226031645,-0.8454487015116356,0.0013810865948860802,0.01283249757203699,0.09281811186976158,0.8624283224673692,11
XRPUSDT,1,1706922600,0.5084524899999999,0.5124888221031346,0.5399,19506.990443596977,0.5035314482082254,1707029100,0.5123350754565037,stop,64.78568609010125,0.6748880493260501,0.03608500373358409,0.005413465474423944,3.7283792286965984,0.5593307507773319,356
XRPUSDT,1,1714444500,0.51495444,0.5136524650935668,0.5358,16091.00838504061,0.5089484415098473,1714445700,0.51344592,stop,-33.375007317768,-0.3453447751278532,0.0,0.0036011729503682166,0.0,0.30876464638486145,5
XRPUSDT,1,1722466500,0.6341902,0.6292132254199081,0.6583,4122.837809958062,0.6108303623270768,1722467700,0.6290244614522822,stop,-24.16191824346985,-0.25087959486591815,0.0009615411906396435,0.008499342941597035,0.026104633454145182,0.23074646645545283,5
XRPUSDT,1,1725843300,0.52835846,0.5279550381831425,0.5607,18613.557498837305,0.5231973185676877,1725844800,0.5277966516716875,stop,-21.26959376670462,-0.22140327962683098,0.004810257036482513,0.0008677063673778185,0.49243758058794607,0.0888291874990414,6
XRPUSDT,1,1739200200,2.4297286999999996,2.4095199780668106,2.5392,1287.8259005097552,2.35529743810787,1739205000,2.408797122073391,stop,-30.383376573098378,-0.31697389684110605,0.003198422935038126,0.01067143833795094,0.10440908567777656,0.3483576569960244,17
XRPUSDT,-1,1747298400,2.48745354,2.4387077427114066,2.3275,1724.0721844284626,2.542875043791765,1747444800,2.3281982500000002,tp,270.0012234965205,2.825738581614791,0.06534937733952619,0.006692169213339369,2.9330409476213943,0.3003610306668293,489
XRPUSDT,-1,1760852700,2.35109446,2.351678045384093,2.1881,4017.206574931202,2.3755519240384846,1760853600,2.3523835487977083,stop,-15.570699523915984,-0.1584792968088563,0.002039246011408779,0.001235824442374801,0.1960325891701636,0.11879972491947811,4
XRPUSDT,-1,1763748900,1.9424171000000001,1.9625030545636843,1.8201,862.5338918852883,2.056145939259745,1763851800,1.9630918054800535,stop,-19.68538276911251,-0.2006767634895369,0.02837552243542344,0.022283010173252644,0.4846360901839366,0.38057980967471455,344
