symbol,direction,t_entry,entry,sl0,tp,qty,sl_init,t_exit,exit,reason,pnl,r
SYM,-1,1588578600,8645.395603,8821.529074285898,8400.0,0.46036429952729224,8862.614879348495,1588600500,8824.175533008183,stop,-86.72719903124407,-0.8672719903124407
SYM,-1,1589027400,9656.472189000002,9733.468844018815,8766.12,0.39664173672454067,9906.402337118865,1589040600,9736.38888467202,stop,-35.92890691761136,-0.3624323433740295
SYM,1,1589522700,9539.851096999999,9448.874235075951,9950.0,0.3048026885416514,9215.79411635754,1589555100,9446.039572805428,stop,-31.776827576978317,-0.3217142980727505
SYM,1,1589816400,9678.132569,9627.585859616165,9958.67,0.7660657670281931,9549.611396403185,1589818800,9624.69758385828,stop,-49.067693441506556,-0.49837346198768395
SYM,1,1602796200,11494.637357,11422.11982424027,11732.0,0.7123819037577843,11357.119835550388,1602821100,11418.693188292998,stop,-63.0789246022038,-0.6438924987413818
SYM,1,1603083900,11450.424097,11421.930850154098,11649.48,2.2364324904612594,11406.902012206718,1603112400,11645.985156,tp,408.949648180095,4.201499877117086
SYM,1,1619603400,54384.670507999996,54208.94880690868,55733.0,0.0786249967634784,53094.702875044655,1619640000,55716.2801,tp,99.93662207435197,0.9853379547621665
SYM,-1,1621955100,37269.365835000004,37473.91196111267,31096.7,0.05065624732594024,39291.28953826651,1621958100,38131.796108,stop,-45.788228159892405,-0.4470499606925611
SYM,1,1622046000,39252.882333,38390.17063655834,40900.0,0.04612461455919283,37042.236544851556,1622048400,38378.65358536737,stop,-42.292862590651026,-0.41477748145066523
SYM,-1,1627653600,38799.326709,39365.401140828835,36384.31,0.10138268578793001,39800.900651238495,1627672800,39377.21076117108,stop,-62.94659831699612,-0.6199054524042631
SYM,1,1629136200,46539.807754999994,46739.26919331532,48300.0,0.10881911064555642,45612.46337865359,1629136500,46481.391398,stop,-11.924182305549692,-0.11816324046290719
SYM,-1,1639184400,47729.646809000005,48571.32557718528,47221.32,0.11543321014458699,48602.82315354477,1639192500,48585.896974858435,stop,-104.95461215505935,-1.0412830359182261
SYM,-1,1640023200,46086.000051,46681.13398919797,45373.11,0.10062812252628651,47077.21403619099,1640029800,46695.13832939473,stop,-66.43145678234465,-0.6660195622408832
SYM,1,1641879600,42149.331007,41788.83380890926,42960.0,0.20564188404520498,41667.52406264248,1641896100,41776.29715876659,stop,-86.20362672597892,-0.8700433827984089
SYM,-1,1643790600,38344.89308,38325.482375879954,36620.0,0.43045243699238,38573.06614414326,1643792100,38428.215007,stop,-54.0420708413907,-0.5502276831809663
SYM,-1,1644828000,42043.803074,42329.653483922644,41526.0,0.2093694033666664,42510.33366174309,1644842400,42342.35237996782,stop,-72.22442352690685,-0.7394192375173214
SYM,-1,1648614900,47215.73103,47138.45086439866,44041.0,0.0689878158897261,47918.427479527985,1648616100,47250.57092,stop,-5.987891032628441,-0.06175949524919242
SYM,-1,1648845900,46181.94126000001,46097.12565484313,44206.2,0.03817013038524824,47451.1942948275,1648846500,46110.954792539575,stop,0.7720051867762042,0.007967432055139575
SYM,1,1651073700,38981.09082,39054.94772284628,40800.0,0.117998174797705,38570.4792665566,1651074900,38897.527239999996,stop,-14.914594052328392,-0.153912887829184
SYM,-1,1657433700,21293.01018,20548.37717219442,19753.0,0.15603952523870337,21603.03958320989,1657609200,19758.9259,tp,235.85463418852947,2.437681232016424
SYM,-1,1664983800,19920.422080000004,19924.694555902206,18896.0,0.2073956534718093,20159.366885391446,1664985300,19973.590279999997,stop,-15.577468202576405,-0.15716999303447274
SYM,-1,1674092400,20748.27365,20950.178531863727,20386.0,0.27642551322630504,21106.259612578877,1674141300,20956.463585423284,stop,-63.889549114781296,-0.6456329718566588
SYM,-1,1674667500,22565.02846,22747.18942951957,22287.0,0.4948006482464811,22763.729812334437,1674673800,22754.013586348425,stop,-105.84310328648654,-1.076543249257209
SYM,-1,1675563900,23325.90013,23416.320112318004,22747.0,1.0541507839735,23418.16314245355,1675578900,23423.3450083517,stop,-129.82600928566262,-1.3348465425383071
SYM,1,1684610100,27012.50132,26986.85146506288,27500.0,0.5196600966226733,26920.17090302122,1684665600,26978.75540962336,stop,-32.967808975836256,-0.34355472255968794
SYM,1,1685126100,26713.11153,26603.08368334763,27527.5,0.20083901129631607,26475.03231394083,1685195700,26595.10275824263,stop,-29.58926802243529,-0.3094102291971751
SYM,-1,1687945200,30288.51072,30438.676164952463,29890.1,0.15132164967861014,30603.519498483805,1687962900,30447.807767801947,stop,-29.15998801226212,-0.3058677029537856
SYM,-1,1688148600,30340.895,30500.651520425785,29500.0,0.116015001126216,31160.131264656015,1688156700,30509.801715881913,stop,-23.47848933967877,-0.24702836996677863
SYM,1,1693158000,26131.73717,26069.449862328303,26806.0,1.522122480763259,26069.449862328303,1693158300,26061.629027369607,stop,-150.40776280192804,-1.5864306506837145
SYM,-1,1719338400,61325.89671000001,61782.878978369634,58218.0,0.033134447793796734,62733.869980385345,1719341700,62143.73753,stop,-29.348807936340044,-0.3145475618971008
SYM,-1,1722435900,66274.71162,66661.08955958746,65254.5,0.036069917269648324,67564.03181542212,1722442500,66681.08788645534,stop,-17.29559589018732,-0.18595146414615055
SYM,1,1745935800,95011.09478,94559.1976192603,95769.6,0.05142399251989977,94108.41895634534,1745961300,94530.82985997453,stop,-30.057991038151293,-0.32376682927595113
SYM,1,1746082500,94872.35316999999,94508.77195517339,95578.8,0.07000756851846619,94211.4402740448,1746093000,95550.12636000001,tp,40.11719490817194,0.43352220070568487
SYM,1,1781303100,63604.0755,63588.73237171826,64371.8,0.07309177936489954,62968.30645419705,1781386800,64352.48846000001,tp,49.55891982846179,0.5332414768366711
SYM,1,1781581500,66110.42718,65763.9234655513,67276.0,0.06872858445108844,65430.691291430216,1781619300,65744.19428851163,stop,-30.154868029200387,-0.3227378020448653
